,Adjusted CAGR,Adj Std Dev,Adj Max DD,Adj SSR,Unadjusted CAGR,Unadj Std Dev,Unadj Max DD,Unadj SSR
117,0.1331,0.12914374825514102,820.5603927479538,1.030634481330392,0.1207,0.13293653895388818,1577.2548277246678,0.9079520269582716
118,0.1386,0.1290556028612136,820.5603927479538,1.0739556975999751,0.1261,0.13299043599428328,1577.2548277246678,0.9481884848127012
119,0.1424,0.12892755370502218,820.5603927479538,1.1044962531888405,0.1298,0.13299578387316413,1577.2548277246678,0.9759707880949677
120,0.1247,0.12894791500537642,820.5603927479538,0.9670571253114151,0.1136,0.13314716770203716,1577.2548277246678,0.8531912616738442
121,0.127,0.12893580736947494,820.5603927479538,0.9849862702303656,0.1159,0.13325881195053754,1577.2548277246678,0.8697361045288269
122,0.1249,0.12893236842691458,820.5603927479538,0.9687249332645251,0.1138,0.13337605504964548,1577.2548277246678,0.8532266152094629
123,0.1228,0.1289374442988156,820.5603927479538,0.9523998297609194,0.1117,0.1334988174448369,1577.2548277246678,0.8367115315171656
124,0.1228,0.1289321532398512,820.5603927479538,0.9524389139112289,0.1153,0.13357228526872247,1577.2548277246678,0.8632030197584623
125,0.123,0.12891529982735234,820.5603927479538,0.954114834815772,0.1154,0.13363186024428836,1577.2548277246678,0.8635665161664349
126,0.1272,0.1288539511528024,820.5603927479538,0.9871641409673108,0.1196,0.1336416065880744,1577.2548277246678,0.8949308755965868
127,0.1262,0.1287931626402526,820.5603927479538,0.9798656808553118,0.1186,0.13364968543469008,1577.2548277246678,0.8873945315640541
128,0.1271,0.12871770956161885,820.5603927479538,0.9874321135209103,0.1195,0.1336399554486146,1577.2548277246678,0.8941936533789739
129,0.1244,0.12865687563091976,820.5603927479538,0.9669129565750412,0.1168,0.13364369657278102,1577.2548277246678,0.8739656489252516
130,0.1292,0.1285517138321534,820.5603927479538,1.0050429990275591,0.1216,0.13359821656057735,1577.2548277246678,0.9101917909575012
131,0.129,0.1284424460479429,820.5603927479538,1.0043408855032938,0.1214,0.1335464664646058,1577.2548277246678,0.9090468899240773
132,0.119,0.12840466781870064,820.5603927479538,0.926757586165174,0.1122,0.13356200066650156,1577.2548277246678,0.8400592941113427
133,0.1196,0.1283546981115215,820.5603927479538,0.9317929281878334,0.1127,0.13356384925952253,1577.2548277246678,0.8437911951834899
134,0.1213,0.1282847508257141,820.5603927479538,0.9455527583695159,0.1144,0.13354303639016907,1577.2548277246678,0.8566526798579046
135,0.1225,0.12819965884585274,820.5603927479538,0.9555407643267911,0.1157,0.13350393777877498,1577.2548277246678,0.8666411038131526
136,0.1194,0.12813187313681318,820.5603927479538,0.9318524507365182,0.1126,0.13348155342895301,1577.2548277246678,0.8435622534160314
137,0.1197,0.12805584657943034,820.5603927479538,0.9347484179549164,0.1128,0.1334498494542616,1577.2548277246678,0.8452613506968465
138,0.1202,0.12797053889039076,820.5603927479538,0.9392786890032059,0.1133,0.13340699327347202,1577.2548277246678,0.8492808151949385
139,0.1224,0.12786446292965983,820.5603927479538,0.9572636305314486,0.1155,0.13334096540631168,1577.2548277246678,0.8662004182139574
140,0.1251,0.12773549245682655,820.5603927479538,0.9793675790014483,0.1182,0.1332495623983826,1577.2548277246678,0.8870573221592414
141,0.1283,0.12758186952589826,820.5603927479538,1.0056287815562694,0.1213,0.1331316254982698,1577.2548277246678,0.9111283629717001
142,0.1303,0.12741269827969467,820.5603927479538,1.022661020128207,0.1233,0.13299608116999775,1577.2548277246678,0.9270949859221487
143,0.1316,0.12723312683219562,820.5603927479538,1.034321825428088,0.1247,0.13284777365318515,1577.2548277246678,0.9386683462648319
144,0.1214,0.12711536017147673,820.5603927479538,0.9550380051335511,0.1151,0.13275941247885814,1577.2548277246678,0.8669818421976642
145,0.1196,0.1270056025333186,820.5603927479538,0.9416907413090235,0.1133,0.13267842684076228,1577.2548277246678,0.8539444030036636
146,0.1207,0.1268848645956659,820.5603927479538,0.9512560886172301,0.1144,0.13258503969411858,1577.2548277246678,0.8628424463569002
147,0.1247,0.1267357518515814,820.5603927479538,0.9839370357469025,0.1184,0.13246110721169163,1577.2548277246678,0.8938472770786976
148,0.1278,0.12656560013192358,820.5603927479538,1.0097530440087177,0.1215,0.13231428488224048,1577.2548277246678,0.9182681983894242
149,0.1265,0.12640098787194962,820.5603927479538,1.0007833176758927,0.1201,0.1321730616060757,1577.2548277246678,0.9086571691737166
150,0.1235,0.12625184780895146,820.5603927479538,0.9782035046875857,0.1172,0.1320465985132436,1577.2548277246678,0.8875654603722748
151,0.1247,0.1260932987319217,820.5603927479538,0.9889502555176711,0.1183,0.13191013044251276,1577.2548277246678,0.8968227049972926
152,0.1282,0.12591297935000317,820.5603927479538,1.0181635019821074,0.1219,0.13174951797377546,1577.2548277246678,0.9252405767758787
153,0.1295,0.12572413724279843,820.5603927479538,1.0300329184197115,0.1232,0.13157925744171156,1577.2548277246678,0.9363177935137421
154,0.1258,0.12555411589400697,820.5603927479538,1.0019583914413495,0.1195,0.13142801782271255,1577.2548277246678,0.9092429603647935
155,0.1258,0.12538247436393324,820.5603927479538,1.0033300159227585,0.1184,0.1312807023456691,1577.2548277246678,0.9018842669522477
156,0.1102,0.12529989856906365,820.5603927479538,0.8794899378091613,0.1035,0.13122139939432073,1577.2548277246678,0.7887433031329147
157,0.1102,0.12521360239168008,820.5603927479538,0.8800960749877949,0.1013,0.13117163315245733,1577.2548277246678,0.7722706317322563
158,0.1102,0.12512375099884165,820.5603927479538,0.8807280721708878,0.1005,0.1311222213270093,1577.2548277246678,0.7664604746846098
159,0.1102,0.12503050239351063,820.5603927479538,0.8813849252014174,0.1045,0.13104307245022276,1577.2548277246678,0.7974477249813777
160,0.1115,0.1249263569572716,820.5603927479538,0.892525826540641,0.1057,0.1309527971542884,1577.2548277246678,0.8071610709885365
161,0.1041,0.12486350937385333,820.5603927479538,0.833710349180677,0.0984,0.13090368687544246,1577.2548277246678,0.7516976973584374
162,0.1041,0.12479677510762321,820.5603927479538,0.8341561703836131,0.0976,0.13085507042890487,1577.2548277246678,0.7458633408709008
163,0.1041,0.1247263166322501,820.5603927479538,0.8346273890772717,0.0989,0.13079400887128778,1577.2548277246678,0.7561508424848867
