,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
76,2001-05-31,86.0887,-0.0056,,2941.0391,,3527.4472,586.4081077784044,0.16624149832162036
77,2001-06-29,84.0372,-0.0238,,2870.9532,,3527.4472,656.4939612469011,0.18611021626259952
78,2001-07-31,83.1804,-0.0102,,2841.6817,,3527.4472,685.7655077952031,0.19440844013064268
79,2001-08-31,78.2451,-0.0593,,2673.0777,,3527.4472,854.3695222532888,0.24220618305875385
80,2001-09-28,71.8608,-0.0816,,2454.9733,,3527.4472,1072.4739432860256,0.30403685228400457
81,2001-10-31,72.7966,0.013,,2486.9415,,3527.4472,1040.505674232047,0.2949741314999831
82,2001-11-30,78.4731,0.078,,2680.8665,,3527.4472,846.5806552712056,0.23999810834056015
83,2001-12-31,78.9138,0.0056,,2695.9233,,3527.4472,831.5238690000556,0.23572964295540855
84,2002-01-31,78.1406,-0.0098,,2669.5065,,3527.4472,857.9406856144328,0.2432185762027658
85,2002-02-28,76.739,-0.0179,,2621.6262,,3527.4472,905.820990308433,0.25679221798371155
86,2002-03-29,79.29,0.0332,,2708.7763,,3527.4472,818.670934014443,0.23208594986607964
87,2002-04-30,74.6789,-0.0582,,2551.2454,,3527.4472,976.2018418787907,0.27674456527054203
88,2002-05-31,74.2358,-0.0059,,2536.1072,,3527.4472,991.3399562312889,0.28103608644554307
89,2002-06-28,68.7607,-0.0738,,2349.0623,,3527.4472,1178.3848647325708,0.33406165930210685
90,2002-07-31,63.341,-0.0788,,2163.91,,3527.4472,1363.5371955231194,0.38655070316094864
91,2002-08-30,63.7718,0.0068,,2178.6271,,3527.4472,1348.8200682243282,0.3823785280823844
92,2002-09-30,57.0851,-0.1049,,1950.1924,,3527.4472,1577.2548277246678,0.44713775665434985
93,2002-10-31,61.7823,0.0823,,2110.6617,,3527.4472,1416.7854952354205,0.40164612392650995
94,2002-11-29,65.5931,0.0617,,2240.8495,,3527.4472,1286.5976736986577,0.36473903101899235
95,2002-12-31,61.8782,-0.0566,,2113.936,,3527.4472,1413.5112039843575,0.4007178913930611
96,2003-01-31,60.3563,-0.0246,,2061.944,,3527.4472,1465.5031741177268,0.4154571538640541
97,2003-02-28,59.5427,-0.0135,,2034.1512,,3527.4472,1493.295956801675,0.4233361612901463
98,2003-03-31,59.6654,0.0021,,2038.3416,,3527.4472,1489.1056434170016,0.4221482446050508
99,2003-04-30,64.7138,0.0846,,2210.8094,,3527.4472,1316.6378414847186,0.37325515219185096
100,2003-05-30,68.2624,0.0548,,2332.0417,,3527.4472,1195.4055141388253,0.33888686247063465
