,date,adjClose,1 Month Change,5 Month Change,Unadjusted Equity,In Market?,Adjusted Equity,Adjusted CAGR,Unadjusted CAGR,Max Unadjusted,Max Adjusted,DD Unadjusted,DD Unadjusted Percentage,DD Adjusted,Sharpe Ratio,DD Adjusted Percentage
47,1998-12-31,82.2853,0.0654,0.1107,2811.103,True,2642.9631,0.3826,0.4113,2811.103,2642.9631,3.946604829252465e-05,1.4039346225493924e-08,2.6971397346642334e-05,,1.0204984453487956e-08
48,1999-01-29,85.1838,0.0352,0.3388,2910.1244,True,2736.0618,0.2861,0.3061,2910.1244,2736.0618,1.425559048584546e-05,4.898618933900372e-09,4.864330321652233e-05,,1.777858351610418e-08
49,1999-02-26,82.4521,-0.0321,0.2184,2816.8021,True,2648.3213,0.2757,0.2955,2910.1244,2736.0618,93.32229509701847,0.03206814632976462,87.74046427996473,,0.03206815879669265
50,1999-03-31,85.8747,0.0415,0.1738,2933.7284,True,2758.2539,0.2887,0.3087,2933.7284,2758.2539,6.3148431763693225e-06,2.152497544206656e-09,-3.792499592236709e-05,,-1.3749639191071963e-08
51,1999-04-30,89.1358,0.038,0.1541,3045.1358,True,2862.9978,0.3008,0.321,3045.1358,2862.9978,-1.0408948583062738e-06,-3.4182214740842554e-10,4.164690290053841e-05,,1.4546606672397165e-08
52,1999-05-31,87.0976,-0.0229,0.0585,2975.5055,True,2797.5322,0.2933,0.3134,3045.1358,2862.9978,69.63033699166544,0.022866085969520784,65.46559547620882,,0.02286610051750959
53,1999-06-30,91.9206,0.0554,0.0791,3140.2737,True,2952.4452,0.3108,0.3312,3140.2737,2952.4452,1.4162715160637163e-05,4.5100257218462075e-09,1.8378156255494105e-05,,6.2247239188365304e-09
54,1999-07-30,89.0691,-0.031,0.0803,3042.8564,True,2860.8547,0.3005,0.3207,3140.2737,2952.4452,97.4172635406926,0.03102190218027575,91.59047109252697,,0.031021903841780694
55,1999-08-31,88.6078,-0.0052,0.0318,3027.0978,True,2846.0386,0.2989,0.319,3140.2737,2952.4452,113.1759362336361,0.036040150332640145,106.40657373697877,,0.036040151985540246
56,1999-09-30,86.6257,-0.0224,-0.0282,2959.3825,True,2782.3736,0.2915,0.3116,3140.2737,2952.4452,180.8911634847973,0.05760362973609506,170.07156488784221,,0.05760363135202042
57,1999-10-29,92.1764,0.0641,0.0583,3149.0129,False,2782.3736,0.2915,0.3321,3149.0129,2952.4452,2.619493807287654e-05,8.318460071369203e-09,170.07156488784221,,0.05760363135202042
58,1999-11-30,93.7113,0.0167,0.0195,3201.4475,True,2828.7033,0.2969,0.3376,3201.4475,2952.4452,2.207790021202527e-05,6.896224352273548e-09,123.74191622987973,,0.041911672477402705
59,1999-12-31,99.0613,0.0571,0.1122,3384.2177,True,2990.1936,0.315,0.3563,3384.2177,2990.1936,-4.192743426756351e-05,-1.2389106725481493e-08,-2.5102529889409197e-05,,-8.394951380208022e-09
60,2000-01-31,94.1293,-0.0498,0.0623,3215.7269,True,2841.3202,0.2323,0.2632,3384.2177,2990.1936,168.49079884049297,0.04978722227015507,148.8734447426691,,0.04978722606545245
61,2000-02-29,92.696,-0.0152,0.0701,3166.7638,True,2798.0578,0.2285,0.2593,3384.2177,2990.1936,217.4539491487708,0.06425530755564891,192.13582059480996,,0.0642553112931584
62,2000-03-31,101.6778,0.0969,0.1031,3473.6071,True,3069.1754,0.2514,0.2828,3473.6071,3069.1754,-3.0531359243468614e-05,-8.789525805456989e-09,-1.656463564359001e-05,,-5.39709644603238e-09
63,2000-04-28,98.1068,-0.0351,0.0469,3351.6111,True,2961.3834,0.2425,0.2737,3473.6071,3069.1754,121.99596244635586,0.03512082942436289,107.79199574313452,,0.03512083269764723
64,2000-05-31,96.5643,-0.0157,-0.0252,3298.9162,True,2914.8237,0.2386,0.2696,3473.6071,3069.1754,174.69093488759563,0.05029093097132247,154.3516980686145,,0.05029093419314337
65,2000-06-30,98.4671,0.0197,0.0461,3363.9184,False,2914.8237,0.2386,0.2746,3473.6071,3069.1754,109.68874213858999,0.03157776310930214,154.3516980686145,,0.05029093419314337
66,2000-07-31,96.9209,-0.0157,0.0456,3311.0981,True,2869.0552,0.2347,0.2706,3473.6071,3069.1754,162.50895426796706,0.0467839193062356,200.12023043978434,,0.06520325636644433
67,2000-08-31,103.2538,0.0653,0.0155,3527.4472,True,3056.5209,0.2504,0.2867,3527.4472,3069.1754,-4.355391092758509e-05,-1.2347147514379548e-08,12.65448034245037,,0.004123088026331232
68,2000-09-29,97.5948,-0.0548,-0.0052,3334.1187,True,2889.0024,0.2364,0.2723,3527.4472,3069.1754,193.32850225246466,0.054806915962474126,180.1730011946047,,0.05870404187216041
69,2000-10-31,97.1382,-0.0047,0.0059,3318.521,False,2889.0024,0.2364,0.2711,3527.4472,3069.1754,208.92616531739304,0.05922871512219745,180.1730011946047,,0.05870404187216041
70,2000-11-30,89.8865,-0.0747,-0.0871,3070.7832,True,2673.3294,0.2173,0.2516,3527.4472,3069.1754,456.664010325243,0.12946019725688396,395.8459533990531,,0.12897469248549728
71,2000-12-29,89.4233,-0.0052,-0.0774,3054.9585,False,2673.3294,0.2173,0.2503,3527.4472,3069.1754,472.4887261895574,0.13394636387174197,395.8459533990531,,0.12897469248549728
72,2001-01-31,93.399,0.0445,-0.0954,3190.7798,False,2673.3294,0.1781,0.2133,3527.4472,3069.1754,336.6674206668931,0.09544222821163506,395.8459533990531,,0.12897469248549728
73,2001-02-28,84.4899,-0.0954,-0.1343,2886.419,True,2418.327,0.1586,0.1932,3527.4472,3069.1754,641.0281916035124,0.18172580771825936,650.8483877898993,,0.21205969127404686
74,2001-03-30,79.7594,-0.056,-0.1789,2724.8104,False,2418.327,0.1586,0.1818,3527.4472,3069.1754,802.6368329678967,0.22754042440887468,650.8483877898993,,0.21205969127404686
75,2001-04-30,86.574,0.0854,-0.0369,2957.6184,False,2418.327,0.1586,0.1981,3527.4472,3069.1754,569.8288430534426,0.16154142379606493,650.8483877898993,,0.21205969127404686
76,2001-05-31,86.0887,-0.0056,-0.0373,2941.0391,True,2404.7708,0.1575,0.197,3527.4472,3069.1754,586.4081077784044,0.16624149832162036,664.4045937935534,,0.21647657992878264
77,2001-06-29,84.0372,-0.0238,-0.1002,2870.9532,False,2404.7708,0.1575,0.1922,3527.4472,3069.1754,656.4939612469011,0.18611021626259952,664.4045937935534,,0.21647657992878264
78,2001-07-31,83.1804,-0.0102,-0.0155,2841.6817,False,2404.7708,0.1575,0.1901,3527.4472,3069.1754,685.7655077952031,0.19440844013064268,664.4045937935534,,0.21647657992878264
